index,Meanvariance,Std,StructureFunction_index_31,PercentDifferenceFluxPercentile,Amplitude,Q31,source
114890898_sector01_1_1,0.001254382493672837,0.02242149438943674,2.801642559443761,0.0030829767597953545,0.03382399999999919,0.018924250000001308,raw
114919935_sector01_1_1,0.000606696812444268,0.009985418301582652,2.2715502999076054,0.001739334305016969,0.016104999999999592,0.015825249999998903,raw
115015715_sector01_1_1,0.0006222458661454724,0.00940061245133149,1.9812980807560512,0.0015400187263258486,0.013954000000000022,0.011676999999998827,raw
117513438_sector01_2_3,0.0009282517399946048,0.017728041993722368,3.623121824479009,0.0024765944156461025,0.02944950000000013,0.0193582499999998,raw
117544676_sector01_2_3,0.0028282362283842894,0.04907131266293271,2.525650121445731,0.008026532486795418,0.07502400000000087,0.09355924999999843,raw
126562914_sector01_1_1,0.001500283348977775,0.025930040764174683,2.057693013818238,0.004497713606318458,0.043098999999999776,0.0437870000000018,raw
126702420_sector01_1_1,0.0008781757302469875,0.012935898103439807,2.5420644978162756,0.002683194820952131,0.02196399999999965,0.0201227500000023,raw
126803350_sector01_1_1,0.0012428820492237844,0.02235982633600892,1.438800044854808,0.003699434521281797,0.03842649999999992,0.02640599999999793,raw
126875240_sector01_1_1,0.0013423695626245725,0.022846130562777938,2.588346154769566,0.003944025089696287,0.03838749999999891,0.037801999999999225,raw
126915665_sector01_1_1,0.002959984184852127,0.0452394629262775,2.7568089038685306,0.008469813561824703,0.06878049999999991,0.08760924999999986,raw
126947261_sector01_1_1,0.000806579140017347,0.013807266655887926,2.474959333969205,0.0024043909225364315,0.02287499999999909,0.023740000000000094,raw
129638423_sector01_1_1,0.0016760515687591294,0.029095906706448262,2.4314175343844386,0.004823352343029712,0.04604050000000015,0.04795949999999749,raw
129640486_sector01_1_1,0.0016453916409025807,0.024401904826769495,2.604379748052179,0.004536260838673083,0.03498000000000001,0.0474104999999998,raw
129645913_sector01_1_1,0.0015105491891254646,0.02610097665276047,2.684110298860682,0.004484394247802731,0.041040500000001146,0.04438099999999778,raw
139121994_sector01_1_1,0.0024762474905372827,0.045428826485981726,2.614921868345383,0.00663903894250795,0.06626899999999836,0.07340100000000405,raw
139201365_sector01_2_3,0.0024258687913637665,0.04767926246396115,2.5326744454536634,0.007836681741037818,0.08821900000000049,0.0717812500000008,raw
139697777_sector01_2_4,0.0035941545147692563,0.06525587317705497,2.7797811820436493,0.011364350116000474,0.11009799999999892,0.11018550000000005,raw
139723163_sector01_2_4,0.0015303899666194204,0.02595866256287654,2.769682343517031,0.004514667097824958,0.04021150000000162,0.04731350000000134,raw
139875056_sector01_2_4,0.0016322209487254081,0.030103406717850358,2.577128809700495,0.005040237836375337,0.053463999999999956,0.048940749999999866,raw
139875815_sector01_2_4,0.0007277161222716115,0.011589306238299823,2.5986527486043567,0.0018710240620928872,0.016113500000000336,0.017112250000000273,raw
139994422_sector01_2_4,0.0010228806567045205,0.01685678072649541,2.7305824289904455,0.0032056248691288373,0.029448500000000877,0.026128750000001588,raw
139996019_sector01_2_4,0.0017549058583002626,0.027782055006473613,2.545019961210517,0.00478692665286351,0.03982249999999965,0.05581300000000056,raw
140040144_sector01_2_4,0.000964404592745906,0.015222697312377855,3.2315993106958336,0.00292722796129807,0.029011999999999816,0.019104999999999706,raw
141088856_sector01_4_2,0.0024617646461081036,0.04598696831777338,2.887110835925813,0.008235109361481563,0.08978900000000145,0.06305025000000342,raw
