index,Meanvariance,Std,StructureFunction_index_31,PercentDifferenceFluxPercentile,Amplitude,Q31,source
115149342_sector01_1_1,0.0021632432159480255,0.03096041502097438,2.7929730661092895,0.006058175893513653,0.04389250000000011,0.05946074999999951,clean
115177265_sector01_1_1,0.0029890699144270363,0.050038219649825924,2.679908000243863,0.008296927210956297,0.07200050000000147,0.08836275000000171,clean
121487340_sector01_2_3,0.0016986069370294775,0.02471238113427228,3.051070470530223,0.005238461068742589,0.03900225000000024,0.037646999999999764,clean
126658008_sector01_1_1,0.0009218199079414007,0.015776165094616063,2.689949018787494,0.0027091603946018754,0.024754500000000235,0.02927000000000035,clean
126746738_sector01_2_4,0.0004124920136420656,0.007105668063213837,1.9150898278921664,0.0013251903517109943,0.014048000000000727,0.008263499999998203,clean
126892374_sector01_1_1,0.0008305886299958208,0.011673578269954086,2.808503650902715,0.0022555985437339274,0.016108749999999894,0.02486750000000093,clean
126914624_sector01_1_1,0.0006126302380165369,0.00953595327116026,2.6660324690391515,0.0018997544528506249,0.01663049999999977,0.018122999999999223,clean
129639703_sector01_1_1,0.0010073484250844816,0.01386291350605272,2.410532703991768,0.0029095040312091085,0.020298500000000885,0.024726000000001136,clean
139457901_sector01_2_3,0.0006785305226601899,0.010999533140016188,2.4803219727622023,0.0017859734622930592,0.01530999999999949,0.021061999999997028,clean
139468357_sector01_2_3,0.0022142670785389312,0.0367984063115632,2.989429191484805,0.006983026851127826,0.062083999999998696,0.06158399999999986,clean
139697644_sector01_2_4,0.0004394830294657457,0.00621200238161931,2.7299815380160823,0.0016975585197465217,0.013522750000000805,0.00691850000000116,clean
139877639_sector01_2_4,0.0018065118679021252,0.032575933486224756,2.669227753358463,0.005511363230057345,0.054579249999999746,0.05327349999999598,clean
140528199_sector01_4_2,0.0006814343080005293,0.011118593467935076,3.0347254342365635,0.002404433408497857,0.02179199999999959,0.012743249999999762,clean
140580094_sector01_4_2,0.0004738871240676709,0.008459974030472392,2.1424353247491643,0.0015608918513050308,0.015978999999999743,0.01127100000000425,clean
140580927_sector01_4_2,0.0005982672580043311,0.01071674156036138,2.3697400084161275,0.0019564578966821777,0.01998300000000164,0.015452999999997274,clean
140597652_sector01_4_2,0.0016071720602507434,0.0292751064764982,2.540228101126537,0.0048668375288092435,0.0500474999999998,0.05001800000000145,clean
140630498_sector01_4_2,0.0003413070281493305,0.005844274219878471,3.027498093232175,0.0011355810811316499,0.011776250000000488,0.007607000000000141,clean
140630515_sector01_4_2,0.0016357145067041677,0.028794897179015035,2.61382030638926,0.004953142450041537,0.04680450000000036,0.050066500000003344,clean
140657528_sector01_4_2,0.0015366418978663978,0.028828406033629215,2.4685033339421807,0.004538198833859735,0.04641924999999958,0.05172199999999805,clean
140658832_sector01_4_2,0.0006432574531315036,0.011312576043586054,2.439671088579395,0.0020540903638835554,0.02063274999999898,0.01797900000000041,clean
140663432_sector01_4_2,0.0009315851197297992,0.012321345080362525,2.9653194918152987,0.0028317660829786963,0.019004500000000313,0.021811999999998832,clean
140663866_sector01_4_2,0.0005386881279170751,0.009588990257884915,1.8602465633359353,0.0014760426598067593,0.02153925000000001,0.009003750000001531,clean
140688216_sector01_4_2,0.0005996358638060982,0.010612173549120182,2.294129971518643,0.0018537228533758705,0.020085249999999277,0.015695000000000903,clean
140756531_sector01_4_2,0.000503183046248832,0.008950572764857485,2.818117376361672,0.001616166317899768,0.016733500000000845,0.013099000000000416,clean
140756533_sector01_4_2,0.002312420542408917,0.04245436955025905,2.5480460279648245,0.007106691068179902,0.0703320000000005,0.07515049999999945,clean
