index,Meanvariance,Std,StructureFunction_index_31,PercentDifferenceFluxPercentile,Amplitude,Q31,source
180212670_sector01_3_2,0.005561844404649987,0.09247189265764988,2.4356921254680373,0.01617380312347879,0.14393225000000065,0.17836149999999762,clean
180618091_sector01_3_2,0.001200285917053766,0.018435619345504875,2.4783985212737907,0.0037908071200986027,0.032452000000001036,0.021165500000000392,clean
181887617_sector01_3_2,0.0029067377630885923,0.048137800102164466,2.0635004287555025,0.008865653827945647,0.07914550000000098,0.08666450000000125,clean
201176936_sector01_2_2,0.0006644560040632674,0.01066804098986739,2.7190632497075007,0.0020084470777403758,0.017762499999999903,0.01779499999999956,clean
267326142_sector01_3_2,0.004255227791215721,0.07294246639947784,2.631142955141843,0.012497845244294795,0.11287025000000028,0.12496449999999726,clean
267495912_sector01_3_2,0.007969759534175561,0.1390900098190683,2.6242138920247053,0.02612570849149428,0.23543049999999965,0.2162302499999953,clean
290607914_sector01_3_3,0.0037523788182732163,0.059379386420217305,2.8905234359142216,0.010662850771551616,0.08601774999999989,0.1164594999999995,clean
295070869_sector01_4_1,0.0020274076598374062,0.030737857431459733,1.7235411537946588,0.006237515652325675,0.05136825000000034,0.05087125000000192,clean
358049323_sector01_3_4,0.000910147274092282,0.011307561879688524,2.737395980776404,0.00278510549661543,0.01825475000000054,0.020145999999998665,clean
394677710_sector01_3_3,0.0010696889431997018,0.014403493915537108,3.0487118603294943,0.0032989142333160904,0.022775999999999463,0.02211075000000129,clean
