index,Meanvariance,Std,StructureFunction_index_31,PercentDifferenceFluxPercentile,Amplitude,Q31,source
114919290_sector01_1_1,0.001468397736002735,0.02086058515924104,2.7731846322779963,0.0048644300096689266,0.036873749999999816,0.02753275000000066,clean
115113456_sector01_1_1,0.0013476678727510339,0.02172626466919682,2.6062265992336457,0.003899847428851038,0.0323682500000011,0.03510750000000229,clean
126784664_sector01_1_1,0.0013706902475600186,0.020307073805704776,2.4791019413100224,0.004152867223246557,0.03280500000000064,0.02044300000000021,clean
139369466_sector01_4_1,0.00010110855470744196,0.0016539430235514299,1.5255830858895647,0.0003233246750706961,0.003314500000000109,0.0020689999999987663,clean
139934914_sector01_2_4,0.00013011252447620657,0.0020732460180232066,2.236656081153675,0.0004288895454093749,0.004025000000000389,0.002938999999999581,clean
140608983_sector01_4_2,0.00039667435059381073,0.007222467668027522,2.0272521562946837,0.0013572833550475106,0.014466999999999786,0.009022500000000377,clean
140756348_sector01_4_2,0.00037266510839271586,0.006459000618055177,1.9343387076181369,0.0011298111922334233,0.011226750000000507,0.01058349999999919,clean
141090468_sector01_4_2,0.00046524211829848135,0.008378161929546784,1.956076058143926,0.0015058516181159717,0.016453249999999642,0.011280750000004502,clean
141122264_sector01_4_2,0.0008207102532802945,0.014181536030679336,2.520550644805772,0.0024417878223031136,0.02272199999999991,0.025921499999999043,clean
141532005_sector01_4_2,0.000640726255126051,0.01096471127834308,2.306183760154079,0.001877732016225021,0.01749299999999998,0.02020999999999873,clean
141622258_sector01_4_2,0.001011861858426545,0.015301810897101236,2.658785745685382,0.0030408629226635563,0.024082499999999563,0.025663249999999138,clean
141807629_sector01_4_2,0.0006236328837600956,0.009071805154653874,2.568368966557432,0.0017768266910422326,0.013805500000000137,0.017662500000000136,clean
149306598_sector01_4_1,0.000300311706371523,0.004986580955994177,2.2816064325662113,0.0009766932963839621,0.009618500000000196,0.007167500000001326,clean
149479287_sector01_4_4,0.0003412271637250036,0.006051952582841281,3.1310898214238034,0.001123704976530109,0.012006500000000031,0.00783100000000303,clean
149930329_sector01_4_4,0.0010103826435263635,0.015296537059458042,3.010775538946304,0.003003948772675199,0.023368500000000125,0.02838825000000078,clean
150167673_sector01_4_4,0.0003575192681700124,0.0052536907242088085,2.7790921873702406,0.0011361204148805858,0.008785500000000113,0.00846099999999872,clean
150432035_sector01_4_4,0.000860405648889771,0.013004896629808211,2.4280119644712186,0.002133584246210435,0.016592999999999414,0.02617400000000103,clean
150442159_sector01_4_4,0.0007961623139399397,0.010561167136813158,2.650786388587373,0.002169435334663865,0.014739749999999496,0.021414000000000044,clean
167126714_sector01_4_2,0.0005764175761698375,0.01007684421616312,2.003287294476588,0.0019354757525006732,0.020129750000000612,0.013185000000000002,clean
167344375_sector01_4_2,0.00037320914024389364,0.0064538271939975035,2.1998842543311823,0.0011757230595611176,0.01146100000000061,0.010138000000001313,clean
167814241_sector01_4_3,0.0009069504048681893,0.013147713308331749,2.604001413865477,0.002656590214784617,0.02128350000000001,0.023629000000001454,clean
176873423_sector01_4_2,0.0013993968011549866,0.021774770286419914,2.719376490304967,0.0038820479876946683,0.031108250000000837,0.03978249999999761,clean
179036498_sector01_4_1,0.00031044507746174764,0.005363962537498594,2.2348158652955306,0.0010052743479006072,0.010883749999999637,0.006644250000000795,clean
179236284_sector01_4_1,0.00032241064307937396,0.0053995602675798084,2.540607795821277,0.0010257500338106578,0.009989499999999651,0.008047999999998723,clean
179236313_sector01_4_1,0.00042493544179820423,0.0072303829393254,2.276236166381648,0.0013185229557738363,0.012389999999999901,0.011153499999998928,clean
179248329_sector01_4_1,0.00019048180807731003,0.0029669150648076064,2.0043023479872235,0.0006230911613506613,0.005559500000000384,0.004311750000001169,clean
179439665_sector01_4_1,0.0003501541202079738,0.005870849838367983,2.5947252219982335,0.001118192526593661,0.010732000000000852,0.008927750000001566,clean
179441885_sector01_4_1,0.00017740973241318772,0.0029829529391288286,1.8452655455038178,0.0005724961115940871,0.005946000000001561,0.003983000000001624,clean
179640661_sector01_4_1,0.0001614676048268639,0.002644382803910291,2.2482207063033153,0.0005488150635201633,0.005243500000000623,0.0034414999999974327,clean
180206506_sector01_3_2,0.00024754105498037105,0.003991433365020179,2.2823538829042063,0.000789478343657147,0.007767499999999927,0.0056544999999985635,clean
180796314_sector01_3_2,0.000200219938037576,0.003001984780166753,2.2284983806528613,0.0007142627513142596,0.005905250000000528,0.0036149999999981475,clean
181043735_sector01_3_2,0.00013022465540695293,0.0020505873246176435,2.7436609610321128,0.0004354638397991032,0.00409449999999989,0.002801499999998569,clean
181043751_sector01_3_2,0.00011236924516205713,0.0016828692005331658,1.9968753468508893,0.0003681805962549074,0.003205999999999598,0.0022844999999982463,clean
181043826_sector01_3_2,0.00047656610087017944,0.0069771295726481185,2.7123162518563815,0.0015256313234549468,0.011734500000000203,0.011129000000000389,clean
181880014_sector01_3_2,0.000162877650197077,0.0024475761625408045,2.463708100100463,0.0005187357780217989,0.004485250000000107,0.0036079999999998336,clean
182300778_sector01_3_2,7.169199691357765e-05,0.0010560843320631932,3.7915937288675456,0.00023779953628073894,0.0020057499999994732,0.0014614999999995604,clean
183642317_sector01_3_3,0.00028823492161016997,0.004453886800325173,2.239201697600513,0.0008851632121612625,0.007316499999999948,0.005584999999999951,clean
183645197_sector01_3_3,0.00018885749740584764,0.0029379505894865806,2.5348814106039197,0.0006034210444101854,0.005290500000000087,0.004792000000001906,clean
212324808_sector01_1_4,0.0013941660855524135,0.01990765346169107,3.0217886677402963,0.00408307317095191,0.03108175000000024,0.03462550000000064,clean
220564862_sector01_3_4,0.001241069553427777,0.018725083568869427,2.562825592331193,0.003106981175766935,0.025014999999999787,0.037817000000000434,clean
231663104_sector01_2_4,0.0013970558006402983,0.021997464047784736,3.023880335113251,0.0045712898222523375,0.039083250000000014,0.03082200000000057,clean
238817020_sector01_2_1,0.003525107891165722,0.04187917702951105,2.7010952871320573,0.009777504593343984,0.05974124999999919,0.07647500000000029,clean
259901939_sector01_3_4,0.00017120821313745086,0.002406533062776154,2.4515969030391918,0.000546439826435446,0.004211500000000257,0.0038247500000014867,clean
259903226_sector01_3_4,8.75685344752602e-05,0.001258369316800219,2.2519202007751424,0.0002768924001977765,0.002582749999999301,0.0016199999999990666,clean
259977857_sector01_3_4,0.0013903171214092167,0.019409566756759474,3.0161093232649367,0.004508781029560086,0.03338850000000004,0.026351749999999896,clean
260132327_sector01_4_4,0.0006310621412996388,0.00868350160318482,1.6504243718419123,0.0017956916479048926,0.013023999999999702,0.014738999999998725,clean
260265863_sector01_4_4,0.003331229619248728,0.04918126392547376,2.7870102759165265,0.009861724292005703,0.07488100000000042,0.07366000000000028,clean
260418545_sector01_4_4,7.423293269457518e-05,0.0010718241804944298,2.97653012235716,0.0002590963348707425,0.002111000000000196,0.001426999999999623,clean
260968543_sector01_4_2,0.0005004691988330422,0.007523564564946867,2.591227247562118,0.0017209535456957133,0.013508500000000367,0.011579000000001116,clean
261063394_sector01_3_3,0.0016536704370831799,0.023699611450737332,2.7293644534308137,0.005363010237421662,0.04005075000000069,0.033448500000000436,clean
261328391_sector01_4_2,0.000982713310471685,0.01517226251971774,2.696982736401988,0.0034576890673138415,0.028772000000000908,0.017981999999999942,clean
262922116_sector01_3_4,0.00033368247294850476,0.0053392749697651655,2.5496196843030257,0.0010656152712649179,0.009244250000000065,0.008265500000000259,clean
263054673_sector01_3_3,0.000336273940553967,0.004663699737471243,2.8804159052611418,0.0009823120383695872,0.0072990000000006106,0.008402500000000757,clean
266583004_sector01_1_4,0.0006492940269267983,0.009658779384247472,2.582921305930224,0.002366392467555373,0.019328499999999416,0.009049000000000973,clean
269855884_sector01_4_2,0.002246514839600836,0.032926190489974416,2.7411787447437566,0.0059166040186663426,0.04396999999999984,0.0691184999999983,clean
