index,Meanvariance,Std,StructureFunction_index_31,PercentDifferenceFluxPercentile,Amplitude,Q31,source
140861365_sector01_4_2,0.004762423638232942,0.08863271671007031,2.67978126035708,0.012594351255944736,0.12280849999999965,0.1618510000000022,median
140941647_sector01_4_2,0.006457648410630236,0.10982133699534116,2.1054472869842655,0.01975108593366831,0.18083400000000083,0.20296124999999776,median
141484560_sector01_4_2,0.003629928311965247,0.06830668886661141,2.2706797573550874,0.011432756505124174,0.11564349999999912,0.10243674999999897,median
149157939_sector01_4_1,0.0012895189697763804,0.022504913528697077,2.3485852362129482,0.004027788388402615,0.038336000000001036,0.036606749999997135,median
149175695_sector01_4_4,0.005913288125841621,0.11018485031050426,2.241957392579545,0.01685021074559108,0.16819349999999922,0.16718200000000039,median
149248740_sector01_4_1,0.007379425525068497,0.13526537157758614,2.7694895889478017,0.021798097565230712,0.21321899999999872,0.24895974999999737,median
149538842_sector01_4_4,0.0012405614760766291,0.02022126899822098,2.791641499844226,0.0037256902196011786,0.032401000000000124,0.03497300000000081,median
179239538_sector01_4_1,0.006204839840537883,0.10475849096421193,2.750701199686033,0.017377407818281985,0.1518885000000001,0.21119674999999916,median
179435530_sector01_4_1,0.00044244860911008026,0.00666485064600331,2.56213531377198,0.0011831023899098903,0.01083400000000001,0.007269999999998333,median
179437787_sector01_4_1,0.006816328858837134,0.11500369346076873,2.7588042083699387,0.01918178956230395,0.16745000000000054,0.23355875000000026,median
179442489_sector01_4_1,0.005968722822142724,0.1036947927498945,2.4091868709038096,0.016740247983166336,0.15007899999999985,0.17355200000000082,median
181043309_sector01_3_2,0.0013482377182757529,0.020482857315481932,2.0803004982710656,0.004429030860637287,0.040211499999999845,0.018151999999998836,median
181455029_sector01_3_2,0.004482761722754489,0.07201244513871054,2.6588631658714945,0.014164182170132595,0.11858900000000006,0.12805400000000233,median
182294193_sector01_3_2,0.0025954169935405976,0.041677772744266345,2.6091522524761546,0.007607535503016555,0.06454500000000074,0.06651300000000049,median
183642399_sector01_3_3,0.003617447942019483,0.06064782124486882,2.651606779207041,0.012244540643306915,0.10979350000000032,0.09348450000000241,median
183802500_sector01_3_3,0.003472758273013866,0.06316936204747767,2.8828731177365565,0.010770702717946544,0.10436600000000062,0.10379075000000171,median
183981702_sector01_3_3,0.00686991005927968,0.1260851871646448,2.7003057659006666,0.01955742776496264,0.18571000000000026,0.23005500000000012,median
184137179_sector01_3_3,0.012525525143502957,0.21199502483189406,2.362247106802544,0.0364176773378807,0.3217800000000004,0.39595899999999773,median
260501869_sector01_4_4,0.0011231599573746055,0.019656174679647007,2.6256481040241986,0.0033193928431504705,0.03195449999999944,0.030763000000000318,median
261499920_sector01_2_1,0.003795337218862317,0.06639735921970544,2.936841157937919,0.011661546984950498,0.10740349999999843,0.11220999999999748,median
266926594_sector01_3_2,0.00307018403834675,0.053367483489595254,2.6485687026876934,0.009344404613714621,0.08504549999999966,0.09760400000000047,median
267547684_sector01_3_2,0.0026651260442167386,0.04577982260377348,2.4519522932631377,0.007362354034959644,0.06865400000000044,0.08879400000000004,median
267547789_sector01_3_2,0.005501989013634485,0.09322722808417183,2.7323976865426705,0.016148772217644408,0.1461535000000005,0.16666199999999876,median
276792090_sector01_4_1,0.00426425684695717,0.07340051464139762,2.743008828076404,0.012156280554819161,0.11115900000000067,0.12864349999999902,median
276860437_sector01_4_1,0.005515668128539038,0.09250544311173443,1.9138540553862338,0.017072801310856905,0.16024499999999975,0.15380075000000204,median
276864760_sector01_4_1,0.003295376344955043,0.056700241625519274,1.8578395564592711,0.00785467523106477,0.07063849999999938,0.0929854999999975,median
277181958_sector01_4_2,0.0031916897459800084,0.05706854999510385,2.495775668974559,0.010108676492825432,0.09907850000000096,0.09270099999999815,median
