index,Meanvariance,Std,StructureFunction_index_31,PercentDifferenceFluxPercentile,Amplitude,Q31,source
114920076_sector01_1_1,0.005920250659641806,0.1071455901882379,2.5545912189335276,0.019248066223768782,0.18409250000000021,0.1683897500000029,raw
114920880_sector01_1_1,0.009722179023029612,0.16927337798417305,1.9974889893420211,0.030386708129437258,0.2799724999999995,0.26720974999999925,raw
114920936_sector01_1_1,0.006248816057740967,0.11296683382791953,2.1534692937696893,0.02012406481820223,0.19560399999999944,0.16957250000000101,raw
114949674_sector01_1_1,0.005555091821065338,0.09119981921550134,2.1513485940728967,0.01795940706888925,0.1578330000000001,0.14263375000000167,raw
114952145_sector01_1_1,0.008019152608620817,0.13983208288804916,1.8663602298870654,0.02565899610069319,0.2381290000000007,0.20678399999999542,raw
114987492_sector01_1_1,0.0052187501960062055,0.09329721736248812,1.9224775081309435,0.01696596039121967,0.16010499999999972,0.14403199999999927,raw
115112801_sector01_1_1,0.003995423283399217,0.0728622505144804,2.3630948582814564,0.012796929595530972,0.12771799999999978,0.10567424999999986,raw
115149971_sector01_1_1,0.0039533333594428816,0.06798924551831319,2.1385333894373413,0.012617158216210365,0.12257400000000018,0.10563825000000193,raw
117511798_sector01_2_3,0.004891124652183947,0.09265684275401746,2.0822381942862243,0.015683947800133092,0.1614205000000002,0.14143724999999918,raw
121487705_sector01_2_3,0.004605432797879177,0.08936728206787353,2.128062526795907,0.014698759237523167,0.15612600000000043,0.14066800000000157,raw
126583380_sector01_1_1,0.0014026432067833494,0.025346796014306224,2.209922604526646,0.00423351351602599,0.04433050000000094,0.03305425000000284,raw
126876039_sector01_2_4,0.0026585313164096095,0.04656851473831764,2.5430614755402035,0.008084828016438872,0.0746260000000003,0.0785260000000001,raw
126877508_sector01_1_1,0.00528143740280942,0.09647623440411009,2.4089875634715634,0.016638547368045414,0.1643530000000002,0.1358764999999984,raw
126910093_sector01_1_1,0.01560271537439411,0.21925593622289724,2.372960655246947,0.048484112397188354,0.3617810000000006,0.3500922500000012,raw
126911434_sector01_1_1,0.013092460588178726,0.22790825077802518,1.953496443491108,0.04176182209736385,0.38469899999999946,0.3509032499999982,raw
126912346_sector01_1_1,0.006419179657077646,0.11775431029094983,1.9637037022616468,0.020787819957507343,0.20287849999999885,0.18090074999999928,raw
